CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax
GOURL,Gourmet Lanchonetes,André Fonseca,Sales Associate,"Av. Brasil, 442",Campinas,SP,04876-786,Brazil,(11) 555-9482,No Fax
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,2732 Baker Blvd.,Eugene,OR,97403,U.S.A.,(503) 555-7555,No Fax
GROSR,GROSELLA-RESTAURANTE,Manuel Pereira,Owner,5? Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,(2) 283-2951,(2) 283-3397
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091,(21) 555-8765
HILAA,HILARION-Abastos,Carlos Hern?ndez,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist?bal,T?chira,5022,Venezuela,(5) 555-1340,(5) 555-1948
HUNGC,HUNGRY COYOTE IMPORT STORE,Yoshi Latimer,Sales Representative,City Center Plaza 516 Main St.,Elgin,OR,97827,U.S.A.,(503) 555-6874,(503) 555-2376
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,8 Johnstown Road,Cork,Co. Cork,,Ireland,2967 542,2967 3333
ISLAT,Island Trading,Helen Bennett,Marketing Manager,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,U.K.,(198) 555-8888,No Fax
KOENE,K?niglich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,Unknown,14776,Germany,0555-09876,No Fax
LACOR,La corne d'abondance,Daniel Tonini,Sales Representative,"67, avenue de l'Europe",Versailles,Unknown,78000,FRANCE,30.59.84.10,No Fax
LAMAI,la maison d'asie,Annette Roulet,Sales Manager,1 rue Alsace-Lorraine,Toulouse,Unknown,31000,FRANCE,61.77.61.10,61.77.61.11
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,1900 Oak St.,Vancouver,BC,,CANADA,(604) 555-3392,(604) 555-7293
LAZYK,Lazy K Kountry Store,JOHN STEEL,Marketing Manager,12 Orchestra Terrace,Walla Walla,WA,99362,U.S.A.,(509) 555-7969,(509) 555-6221
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,MAGAZINWEG 7,Frankfurt a.M.,Unknown,60528,Germany,069-0245984,069-0245874
LETSS,Let's Stop N Shop,Jaime Yorres,Owner,87 Polk St. Suite 5,San Francisco,CA,94117,U.S.A.,(415) 555-5938,No Fax
LILAS,LILA-SUPERMERCADO,Carlos Gonz?lez,Accounting Manager,Carrera 52 con Ave. Bol?var #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,(9) 331-6954,(9) 331-7256
LINOD,LINO-DELICATESES,Felipe Izquierdo,Owner,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12,(8) 34-93-93
LONEP,LONESOME PINE RESTAURANT,FRAN WILSON,Sales Manager,89 CHIAROSCURO RD.,Portland,OR,97219,U.S.A.,(503) 555-9573,(503) 555-9646
MAGAA,Magazzini Alimentari Riuniti,GIOVANNI ROVELLI,Owner,Via Ludovico il Moro 22,Bergamo,Unknown,24100,Italy,035-640230,035-640231
MAISD,maison dewey,Catherine Dewey,Sales Agent,Rue Joseph-Bens 532,Bruxelles,Unknown,B-1180,Belgium,(02) 201 24 67,No Fax
MEREP,Mère Paillarde,Jean Fresnière,Marketing Assistant,43 rue St. Laurent,Montréal,Québec,H1J 1C3,CANADA,(514) 555-8054,(514) 555-8055
MORGK,Morgenstern Gesundkost,ALEXANDER FEUER,Marketing Assistant,Heerstr. 22,Leipzig,Unknown,04179,Germany,0342-023176,No Fax
NORTS,North/South,Simon Crowther,Sales Associate,South House 300 Queensbridge,London,Unknown,SW7 1RZ,U.K.,(171) 555-7733,(171) 555-2530
OCEAN,Océano Atl?ntico Ltda.,Yvonne Moncada,Sales Agent,ING. GUSTAVO MONCADA 8585 PISO 20-A,Buenos Aires,Unknown,1010,Argentina,(1) 135-5333,(1) 135-5535
OLDWO,Old World Delicatessen,RENE PHILLIPS,Sales Representative,2743 Bering St.,Anchorage,AK,99508,U.S.A.,(907) 555-7584,(907) 555-2880
OTTIK,Ottilies K?seladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,K?ln,Unknown,50739,Germany,0221-0644327,0221-0765721
PARIS,PARIS SPÉCIALITÉS,Marie Bertrand,Owner,"265, BOULEVARD CHARONNE",Paris,Unknown,75012,FRANCE,(1) 42.34.22.66,(1) 42.34.22.77
PERIC,Pericles Comidas cl?sicas,GUILLERMO FERN?NDEZ,Sales Representative,Calle Dr. Jorge Cash 321,México D.F.,Unknown,05033,MEXICO,(5) 552-3745,No Fax
PICCO,Piccolo und mehr,Georg Pipps,Sales Manager,Geislweg 14,Salzburg,Unknown,5020,Austria,6562-9722,6562-9723
PRINI,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Estrada da sa?de n. 58,Lisboa,Unknown,1756,Portugal,(1) 356-5634,No Fax
QUEDE,Que Del?cia,Bernardo Batista,Accounting Manager,"Rua da Panificadora, 12",Rio de Janeiro,RJ,,Brazil,(21) 555-4252,(21) 555-4545
QUEEN,queen cozinha,L?cia Carvalho,Marketing Assistant,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil,(11) 555-1189,No Fax
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstra?e 10,Cunewalde,Unknown,01307,Germany,0372-035188,No Fax
RANCH,Rancho grande,Sergio Gutiérrez,Sales Representative,AV. DEL LIBERTADOR 900,Buenos Aires,Unknown,1010,Argentina,(1) 123-5555,(1) 123-5556
RATTC,rattlesnake canyon grocery,PAULA WILSON,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,,U.S.A.,(505) 555-5939,(505) 555-3620
REGGC,REGGIANI CASEIFICI,Maurizio Moroni,Sales Associate,Strada Provinciale 124,Reggio Emilia,Unknown,42100,Italy,0522-556721,0522-556722
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,(21) 555-3412,No Fax
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,Genève,Unknown,1203,Switzerland,0897-034214,No Fax
ROMEY,ROMERO Y TOMILLO,Alejandra Camino,Accounting Manager,"gran v?a, 1",Madrid,Unknown,28001,Spain,(91) 745 6200,(91) 745 6210
SANTG,Santé Gourmet,Jonas Bergulfsen,Owner,Erling Skakkes gate 78,Stavern,Unknown,4110,Norway,07-98 92 35,07-98 92 47
SAVEA,save-a-lot markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,U.S.A.,(208) 555-8097,No Fax
SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,90 WADHURST RD.,London,Unknown,OX15 4NB,U.K.,(171) 555-1717,(171) 555-5646
SIMOB,Simons bistro,JYTTE PETERSEN,Owner,Vinb?ltet 34,Kobenhavn,Unknown,1734,Denmark,31 12 34 56,31 13 35 57
SPECD,Spécialités du monde,Dominique Perrier,Marketing Manager,"25, rue Lauriston",Paris,Unknown,75016,FRANCE,(1) 47.55.60.10,(1) 47.55.60.20
SPLIR,Split Rail Beer & Ale,ART BRAUNSCHWEIGER,Sales Manager,P.O. Box 555,Lander,WY,82520,U.S.A.,(307) 555-4680,(307) 555-6525
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,Unknown,B-6000,Belgium,(071) 23 67 22 20,No Fax
THEBI,the big cheese,Liz Nixon,Marketing Manager,89 Jefferson Way Suite 2,Portland,OR,97201,U.S.A.,(503) 555-3612,No Fax
THECR,THE CRACKER BOX,LIU WONG,Marketing Assistant,55 grizzly peak rd.,Butte,MT,59801,U.S.A.,(406) 555-5834,(406) 555-8083
TOMSP,Toms Spezialit?ten,karin josephs,Marketing Manager,Luisenstr. 48,Münster,Unknown,44087,Germany,0251-031259,0251-035695
TORTU,TORTUGA RESTAURANTE,MIGUEL ANGEL PAOLINO,Owner,Avda. Azteca 123,México D.F.,Unknown,05033,MEXICO,(5) 555-2933,No Fax
TRADH,Tradiç?o Hipermercados,Anabela Domingues,Sales Representative,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brazil,(11) 555-2167,(11) 555-2168
TRAIH,TRAIL'S HEAD GOURMET PROVISIONERS,helvetius nagy,Sales Associate,722 DaVinci Blvd.,Kirkland,WA,98034,U.S.A.,(206) 555-8257,(206) 555-2174
VAFFE,Vaffeljernet,PALLE IBSEN,Sales Manager,Smagsloget 45,?rhus,Unknown,8200,Denmark,86 21 32 43,86 22 33 44
VICTE,Victuailles en stock,MARY SAVELEY,Sales Agent,"2, rue du Commerce",Lyon,Unknown,69004,FRANCE,78.32.54.86,78.32.54.87
VINET,VINS ET ALCOOLS CHEVALIER,PAUL HENRIOT,Owner,59 rue de l'Abbaye,Reims,Unknown,51100,FRANCE,26.47.15.10,26.47.15.11
WANDK,die wandernde kuh,Rita Müller,Sales Representative,Adenauerallee 900,Stuttgart,Unknown,70563,Germany,0711-020361,0711-035428
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Torikatu 38,Oulu,Unknown,90110,Finland,981-443655,981-443655
WELLI,Wellington Importadora,Paula Parente,Sales Manager,"Rua do Mercado, 12",Resende,SP,,Brazil,(14) 555-8122,No Fax
WHITC,White Clover Markets,Karl Jablonski,Owner,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,U.S.A.,(206) 555-4112,(206) 555-4115
WILMK,wilman kala,MATTI KARTTUNEN,Owner,Keskuskatu 45,Helsinki,Unknown,21240,Finland,90-224 8858,90-224 8858
WOLZA,Wolski Zajazd,zbyszek piestrzeniewicz,Owner,UL. FILTROWA 68,Warszawa,Unknown,01-012,Poland,(26) 642-7012,(26) 642-7012
